model,train_val,parameters,n_features,ssr,r2,r2adj,mae,rmse,VIF,percBias,region,clust_method
raw_lasso,valin,alpha0.8,7,5.112131888,0.463378593,0.40893874,0.18518718,0.257665138,3.078300962,6.995308477,MxWdShld,Ecoregion
raw_lasso,valnit,alpha0.8,7,2.236793935,0.205914396,-0.102896672,0.237952076,0.293309625,3.388291008,1.102213483,MxWdShld,Ecoregion
raw_mlr,train,forwardklim75,55,0.049921751,0.994768693,0.981067652,0.018246102,0.025462412,374237.6004,1.62E-12,MxWdShld,Ecoregion
raw_mlr,valin,forwardklim75,55,3.861973971,0.594607895,-0.467133333,0.165115185,0.22395425,142245.3826,17.877835,MxWdShld,Ecoregion
raw_mlr,valnit,forwardklim75,55,59.38587157,-20.08261515,18.56884596,0.665046812,1.511314654,inf,-25.55310761,MxWdShld,Ecoregion
strd_lasso,train,alpha0.07,9,4.662567605,0.511408944,0.445777309,0.147551406,0.246074838,3.996983642,-3.17E-16,MxWdShld,Ecoregion
strd_lasso,valin,alpha0.07,9,5.550014543,0.417413971,0.339156147,0.189968081,0.268473669,4.000406968,7.149127989,MxWdShld,Ecoregion
strd_lasso,valnit,alpha0.07,9,1.509174109,0.464227162,0.162854941,0.208509675,0.240925628,9.986705273,1.307288483,MxWdShld,Ecoregion
strd_mlr,train,forwardklim75,45,0.098933977,0.989632696,0.974583384,0.027096612,0.0358449,2.39E+13,1.26E-08,MxWdShld,Ecoregion
strd_mlr,valin,forwardklim75,45,0.139022326,0.985406801,0.964223126,0.03214752,0.042490996,2.28E+13,1.04E-08,MxWdShld,Ecoregion
strd_mlr,valnit,forwardklim75,45,7.74E-27,1,1,1.21E-14,1.73E-14,1.32E+16,3.54E-13,MxWdShld,Ecoregion
strd_PCA_lasso,train,alpha0.12nc19,5,5.740966926,0.398403341,0.356037379,0.161853679,0.27305313,1,-6.02E-15,MxWdShld,Ecoregion
strd_PCA_lasso,valin,alpha0.12nc19,5,6.408556195,0.327292699,0.279918946,0.201457208,0.288492639,1.001083581,6.959502178,MxWdShld,Ecoregion
strd_PCA_lasso,valnit,alpha0.12nc19,5,1.667067593,0.408173298,0.260216623,0.210040565,0.253215293,1.320743343,1.413557577,MxWdShld,Ecoregion
strd_PCA_mlr,train,alpha0.12nc19,18,1.56396724,0.836111673,0.785249778,0.095075578,0.142517588,1,-5.39E-15,MxWdShld,Ecoregion
strd_PCA_mlr,valin,alpha0.12nc19,18,2.494901796,0.738109708,0.656833411,0.137513659,0.180003672,1.001083581,8.009550248,MxWdShld,Ecoregion
strd_PCA_mlr,valnit,alpha0.12nc19,18,1.820817195,0.353590557,-1.308605154,0.215943572,0.264634523,1.320743343,0.716048436,MxWdShld,Ecoregion
regr_precip,train,none,1,521.2863809,0.877551593,0.877407196,0.470473755,0.783120741,1,6.97E-15,WestMnts,Ecoregion
regr_precip,valin,none,1,730.0225366,0.860759743,0.860595545,0.61193255,0.926741627,1,-10.49358844,WestMnts,Ecoregion
regr_precip,valnit,none,1,448.9158408,0.681075496,0.680179641,0.600766798,1.11980126,1,-3.324206651,WestMnts,Ecoregion
raw_lasso,train,alpha0.05,29,409.5383054,0.903800838,0.900398672,0.41527666,0.694125184,75.46860103,1.23E-14,WestMnts,Ecoregion
raw_lasso,valin,alpha0.05,29,563.0452518,0.89260802,0.888810011,0.509293987,0.813883394,60.25707476,-9.618963394,WestMnts,Ecoregion
